iter	Passed	Remaining
186	374	1627
187	375	1620
188	376	1614
189	377	1607
190	378	1601
191	379	1594
192	379	1587
193	380	1581
194	381	1575
195	382	1568
196	383	1563
197	384	1558
198	385	1553
199	386	1547
200	387	1541
201	388	1535
202	389	1529
203	390	1523
204	391	1518
205	392	1512
206	393	1506
207	394	1501
208	395	1495
209	396	1490
210	397	1484
211	398	1479
212	399	1475
213	400	1470
214	401	1464
215	402	1459
216	403	1454
217	403	1449
218	404	1443
219	405	1438
220	406	1433
221	407	1428
222	408	1423
223	409	1418
224	410	1413
225	411	1408
226	412	1403
227	413	1398
228	414	1394
229	415	1390
230	416	1385
231	417	1381
232	418	1376
233	419	1372
234	420	1367
235	420	1362
236	421	1358
237	422	1353
238	423	1349
239	424	1344
240	425	1340
241	426	1335
242	427	1331
243	428	1327
244	429	1323
245	430	1319
246	431	1315
247	432	1311
248	433	1306
249	434	1302
250	435	1298
251	436	1294
252	437	1290
253	437	1286
254	438	1282
255	439	1278
256	440	1274
257	441	1270
258	442	1265
259	443	1261
260	444	1258
261	445	1254
262	446	1251
263	447	1247
264	448	1243
265	449	1239
266	450	1235
267	451	1232
268	452	1228
269	453	1225
270	453	1221
271	454	1217
272	455	1213
273	456	1210
274	457	1206
275	458	1202
276	459	1199
277	460	1196
278	461	1193
279	462	1189
280	463	1186
281	464	1182
282	465	1179
283	466	1175
284	467	1172
285	468	1168
286	469	1165
287	470	1162
288	471	1158
289	472	1155
290	472	1152
291	473	1149
292	475	1146
293	476	1143
294	476	1139
295	477	1136
296	478	1133
297	479	1130
298	480	1126
299	481	1123
300	482	1120
301	483	1117
302	484	1114
303	485	1111
304	486	1108
305	487	1104
306	488	1101
307	488	1098
308	490	1096
309	491	1093
310	492	1090
311	493	1087
312	493	1084
313	494	1081
314	495	1078
315	496	1075
316	497	1072
317	498	1069
318	499	1066
319	500	1063
320	501	1060
321	502	1057
322	503	1054
323	504	1052
324	505	1049
325	506	1047
326	507	1044
327	508	1041
328	509	1038
329	510	1035
330	511	1033
331	512	1030
332	512	1027
333	514	1024
334	514	1022
335	515	1019
336	516	1016
337	517	1014
338	518	1011
339	519	1009
340	520	1006
341	521	1004
342	522	1001
343	523	998
344	524	995
345	525	993
346	526	990
347	527	988
348	528	985
349	529	982
350	530	980
351	531	977
352	532	975
353	532	972
354	533	970
355	535	967
356	536	965
357	536	962
358	537	960
359	538	957
360	539	955
361	540	952
362	541	950
363	542	947
364	543	945
365	544	942
366	545	940
367	546	938
368	547	935
369	548	933
370	549	931
371	550	928
372	551	926
373	552	924
374	553	922
375	554	919
376	555	917
377	556	915
378	557	912
379	558	910
380	558	908
381	559	905
382	560	903
383	561	901
384	562	898
385	563	896
386	564	894
387	565	892
388	566	890
389	567	888
390	568	885
391	569	883
392	570	881
393	571	879
394	572	877
395	573	874
396	574	872
397	575	870
398	576	868
399	577	865
400	578	863
401	579	861
402	580	859
403	581	857
404	582	855
405	583	853
406	584	851
407	585	849
408	586	847
409	587	844
410	587	842
411	588	840
412	589	838
413	590	836
414	591	833
415	592	831
416	593	829
417	594	827
418	595	825
419	596	823
420	597	821
421	598	819
422	599	817
423	600	815
424	601	813
425	601	811
426	602	809
427	603	807
428	604	804
429	605	802
430	606	800
431	607	798
432	608	796
433	609	794
434	610	793
435	611	791
436	612	789
437	613	787
438	614	785
439	615	783
440	616	781
441	617	779
442	618	777
443	619	775
444	620	773
445	621	771
446	622	769
447	623	767
448	624	766
449	625	764
450	626	762
451	627	760
452	628	759
453	629	757
454	630	755
455	631	753
456	632	751
457	633	749
458	634	747
459	635	745
460	636	744
461	637	742
462	638	740
463	639	738
464	640	736
465	641	735
466	642	733
467	643	731
468	644	729
469	645	727
470	646	725
471	647	723
472	648	722
473	648	720
