iter	Passed	Remaining
293	653	1568
294	654	1564
295	655	1559
296	656	1554
297	658	1550
298	659	1546
299	660	1541
300	661	1536
301	662	1532
302	664	1527
303	665	1523
304	666	1518
305	667	1514
306	668	1509
307	670	1505
308	671	1501
309	672	1497
310	673	1492
311	675	1488
312	676	1484
313	677	1480
314	678	1476
315	679	1471
316	681	1467
317	682	1463
318	683	1459
319	684	1455
320	685	1450
321	687	1446
322	688	1442
323	689	1438
324	690	1434
325	692	1431
326	693	1427
327	694	1423
328	695	1419
329	697	1415
330	698	1411
331	699	1407
332	700	1403
333	702	1399
334	703	1396
335	704	1392
336	705	1388
337	707	1385
338	708	1381
339	709	1377
340	711	1374
341	712	1370
342	713	1366
343	714	1362
344	715	1358
345	717	1355
346	718	1351
347	719	1348
348	720	1344
349	721	1340
350	723	1337
351	724	1333
352	725	1329
353	726	1326
354	727	1322
355	729	1318
356	730	1315
357	731	1311
358	732	1308
359	734	1305
360	735	1301
361	736	1298
362	738	1295
363	739	1291
364	740	1288
365	741	1284
366	742	1281
367	744	1278
368	745	1274
369	746	1271
370	748	1268
371	749	1265
372	750	1261
373	751	1258
374	753	1255
375	754	1252
376	755	1248
377	756	1245
378	758	1242
379	759	1238
380	760	1235
381	761	1232
382	763	1229
383	764	1226
384	765	1223
385	767	1220
386	768	1216
387	769	1213
388	770	1210
389	771	1207
390	773	1204
391	774	1201
392	775	1198
393	776	1195
394	778	1191
395	779	1188
396	780	1185
397	782	1182
398	783	1179
399	784	1176
400	785	1173
401	787	1170
402	788	1167
403	789	1164
404	790	1161
405	792	1158
406	793	1156
407	794	1153
408	795	1149
409	796	1146
410	798	1143
411	799	1140
412	800	1137
413	801	1134
414	803	1132
415	804	1129
416	805	1126
417	806	1123
418	807	1120
419	809	1117
420	810	1114
421	811	1111
422	812	1108
423	814	1105
424	815	1103
425	816	1100
426	818	1097
427	819	1094
428	820	1092
429	821	1089
430	822	1086
431	824	1083
432	825	1080
433	826	1078
434	827	1075
435	829	1072
436	830	1069
437	831	1067
438	832	1064
439	834	1061
440	835	1058
441	836	1056
442	837	1053
443	838	1050
444	840	1047
445	841	1045
446	842	1042
447	843	1039
448	845	1036
449	846	1034
450	847	1031
451	848	1029
452	850	1026
453	851	1023
454	852	1021
